Designator,Mid X,Mid Y,Rotation,Layer
D1,116.65,-75.85,0.0,top
D10,116.68125,-103.8225,90.0,bottom
D11,78.58125,-122.39625,90.0,bottom
D12,97.63125,-122.39625,90.0,bottom
D13,116.68125,-122.39625,90.0,bottom
D2,59.5,-75.825,180.0,top
D3,59.62125,-133.7,0.0,top
D4,117.75,-133.2,0.0,top
D5,78.58125,-84.29625,90.0,bottom
D6,97.63125,-84.29625,90.0,bottom
D7,116.68125,-84.29625,90.0,bottom
D8,78.58125,-103.8225,90.0,bottom
D9,97.63125,-103.8225,90.0,bottom
J1,89.0525,-64.40875,0.0,top
SW1,69.05625,-83.635,0.0,top
SW11,118.83125,-64.4125,0.0,top
SW2,88.10625,-83.635,0.0,top
SW3,107.15625,-83.635,0.0,top
SW4,69.05625,-102.685,0.0,top
SW5,88.10625,-102.685,0.0,top
SW6,107.15625,-102.685,0.0,top
SW7,69.05625,-121.735,0.0,top
SW8,88.10625,-121.735,0.0,top
SW9,107.15625,-121.735,0.0,top
U2,100.0125,-66.3575,0.0,bottom
